sample_id,replicate,root_area [mm^2],stele_area [mm^2],cortex_area [mm^2],test_succesful,test_comment
648,1,1.24564,0.228133,1.041738,TRUE,
648,2,0.279779,0.193218,0.097928,FALSE,GJM: much smaller than manually measured diameter (1.02 mm)
648,3,0.289442,0.200419,0.098749,FALSE,GJM: much smaller than manually measured diameter (1.02 mm)
649,1,3.078279,0.682045,2.426597,TRUE,
649,2,3.127251,0.685369,2.465353,TRUE,
649,3,3.131154,0.665249,2.500638,TRUE,
650,1,3.462293,0.68002,2.814328,TRUE,
650,2,3.482946,0.702119,2.819283,TRUE,
650,3,3.46555,0.705564,2.791585,TRUE,
651,1,3.156373,0.98619,2.215968,TRUE,
651,2,3.165173,0.969315,2.227821,TRUE,
651,3,3.191273,0.973409,2.253036,TRUE,
652,1,3.122198,0.479642,2.672779,TRUE,
652,2,3.182795,0.477671,2.727083,TRUE,
652,3,3.299112,0.525702,2.807056,TRUE,
653,1,4.652881,0.963544,3.716154,TRUE,
653,2,3.703073,0.864348,2.86311,TRUE,
653,3,3.722699,0.882143,2.875086,TRUE,
654,1,2.099282,0.45462,1.674049,TRUE,
654,2,2.121186,0.46379,1.678994,TRUE,
654,3,2.094177,0.464753,1.658263,TRUE,
655,1,4.72067,1.297307,3.460996,TRUE,
655,2,3.493167,1.034217,2.490958,TRUE,
655,3,3.481542,1.036088,2.479483,TRUE,
656,1,NA,NA,NA,FALSE,
656,2,NA,NA,NA,FALSE,
656,3,3.758512,0.91315,2.889971,TRUE,
660,1,5.000163,2.373641,2.690341,TRUE,
660,2,5.334368,2.411812,2.983522,TRUE,
660,3,5.172676,2.428005,2.814233,TRUE,
661,1,0.729363,0.125899,0.622609,TRUE,
661,2,0.709603,0.131469,0.589538,TRUE,
661,3,0.723487,0.112346,0.625231,TRUE,
662,1,1.345157,0.220082,1.145308,TRUE,
662,2,1.263954,0.197468,1.088616,TRUE,
662,3,1.339716,0.214905,1.143668,TRUE,
663,1,1.100769,0.172056,0.947142,TRUE,
663,2,1.097756,0.168631,0.950697,TRUE,
663,3,1.101757,0.180101,0.940936,TRUE,
663,4,1.08795,0.17285,0.940004,TRUE,
664,1,1.395691,0.30449,1.111518,TRUE,
664,2,1.404975,0.28398,1.14074,TRUE,
664,3,1.416258,0.30519,1.136491,TRUE,
665,1,1.440935,0.173248,1.286971,TRUE,
665,2,1.299973,0.174426,1.145675,TRUE,
665,3,1.399398,0.170322,1.248879,TRUE,
666,1,3.157498,0.67516,2.527698,TRUE,
666,2,2.928914,0.636173,2.323293,TRUE,
666,3,2.961376,0.639661,2.365785,TRUE,
667,1,2.806952,0.525588,2.30525,TRUE,
667,2,2.712407,0.517609,2.229867,TRUE,
667,3,2.742474,0.538697,2.234057,TRUE,
668,1,5.045228,1.295891,3.802843,TRUE,
668,2,5.073073,1.331497,3.787723,TRUE,
668,3,5.053432,1.317903,3.775833,TRUE,
670,1,2.693642,0.449132,2.270233,TRUE,
670,2,2.781449,0.426875,2.381536,TRUE,
670,3,2.991371,0.453307,2.563459,TRUE,
671,1,NA,NA,NA,TRUE,
671,2,NA,NA,NA,TRUE,
671,3,NA,NA,NA,TRUE,
671,4,NA,NA,NA,TRUE,
672,1,2.472216,0.476208,2.020468,TRUE,
672,2,2.571599,0.482018,2.116403,TRUE,
672,3,2.948728,0.510496,2.47229,TRUE,
673,1,0.754439,0.105516,0.660049,TRUE,
673,2,0.715191,0.100129,0.627789,TRUE,
673,3,0.716282,0.099563,0.631032,TRUE,
673,4,0.729633,0.09983,0.645455,TRUE,
674,1,0.712575,0.080721,0.648122,TRUE,
674,2,0.695949,0.090515,0.617763,TRUE,
674,3,0.703373,0.082116,0.637647,TRUE,
675,1,2.860404,0.553995,2.341701,TRUE,
675,2,2.873735,0.566031,2.339636,TRUE,
675,3,2.913936,0.580792,2.356778,TRUE,
676,1,2.320764,0.421345,1.919737,TRUE,
676,2,2.352435,0.395844,1.980378,TRUE,
676,3,2.373815,0.390727,2.007207,TRUE,
678,1,4.477652,1.122375,3.39489,TRUE,
678,2,4.489994,1.126071,3.399761,TRUE,
678,3,4.568585,1.184861,3.428944,TRUE,
679,1,1.643894,1.171923,0.495838,TRUE,
679,2,1.660129,1.222896,0.45191,TRUE,
679,3,1.675154,1.17935,0.520296,TRUE,
681,1,1.149962,0.996576,0.172967,TRUE,
681,2,1.187441,0.97105,0.236214,TRUE,
681,3,1.184409,0.989217,0.216439,TRUE,
682,1,4.208248,0.910804,3.329881,TRUE,
682,2,4.258236,0.897515,3.397631,TRUE,
683,1,3.191005,0.420921,2.803559,TRUE,
683,2,3.286284,0.439485,2.881835,TRUE,
683,3,3.18186,0.405583,2.808144,TRUE,
684,1,5.328235,1.525511,3.855526,TRUE,
684,2,5.466163,1.554524,3.616314,TRUE,
684,3,5.539442,1.583581,3.727747,TRUE,
685,1,3.784132,0.703758,3.113791,TRUE,
685,2,3.790163,0.731418,3.08429,TRUE,
685,3,3.829613,0.738134,3.13193,TRUE,
699,1,4.358562,0.692332,3.705385,TRUE,
699,2,4.289312,0.682426,3.64562,TRUE,
699,3,4.421596,0.715515,3.739351,TRUE,
699,4,4.313749,0.695305,3.644726,TRUE,
699,5,NA,NA,NA,TRUE,
